Case ID,Data Category,Data Type,file_ids,file_names,num_file_id,num_files
TCGA-02-0003normal,Copy Number Variation,Gene Level Copy Number,"405a3ba7-0d4f-481b-8d65-ed6b23d79d7d,41bcf003-e456-4e9f-a57f-8862f60ef61d","TCGA-GBM.b3c11228-4473-4d24-be7c-2472f44562a0.ascat3.gene_level_copy_number.v36.tsv,TCGA-GBM.b3c11228-4473-4d24-be7c-2472f44562a0.gene_level_copy_number.v36.tsv",2,2
TCGA-02-0003normal,Simple Nucleotide Variation,Masked Somatic Mutation,6fd169e5-a79b-405f-8c4e-b20a03d8a4a9,149ce67d-c03d-471f-9524-41bf5288c239.wxs.aliquot_ensemble_masked.maf,1,1
TCGA-02-0033normal,Copy Number Variation,Gene Level Copy Number,"4e084d73-5976-428a-bcc3-46f81c97d45b,25a2ab41-ae7f-47e5-91d6-00da213e43bb","TCGA-GBM.4f30c598-8b39-49df-a5ae-1d07f6818c4a.ascat3.gene_level_copy_number.v36.tsv,TCGA-GBM.4f30c598-8b39-49df-a5ae-1d07f6818c4a.gene_level_copy_number.v36.tsv",2,2
TCGA-02-0033normal,Simple Nucleotide Variation,Masked Somatic Mutation,a84008d1-f3b6-43f3-b60a-52c13c6bc4bb,04da0baa-6e34-4d1a-98e2-847d1c4a4bb8.wxs.aliquot_ensemble_masked.maf,1,1
TCGA-02-0047normal,Copy Number Variation,Gene Level Copy Number,"0cc0bfc4-4168-4690-8892-f02362dce48b,328ea458-9a39-4c35-9ee5-406c5b8a07ed","TCGA-GBM.9eaedc0c-dcb8-4140-a150-0e32d4b50cfe.ascat3.gene_level_copy_number.v36.tsv,TCGA-GBM.9eaedc0c-dcb8-4140-a150-0e32d4b50cfe.gene_level_copy_number.v36.tsv",2,2
TCGA-02-0047normal,Simple Nucleotide Variation,Masked Somatic Mutation,9bfc590f-8fd6-4a9c-88e0-081d7fafef44,c802335e-281f-4c11-8588-29dc04bf3527.wxs.aliquot_ensemble_masked.maf,1,1
TCGA-02-0055normal,Copy Number Variation,Gene Level Copy Number,"e6872096-d69f-42a6-b218-54446486079d,2ec90cd0-f97b-4400-bbee-4c2195a664f1","TCGA-GBM.3632db23-8431-4291-97f1-ed8f399dc3e7.gene_level_copy_number.v36.tsv,TCGA-GBM.3632db23-8431-4291-97f1-ed8f399dc3e7.ascat3.gene_level_copy_number.v36.tsv",2,2
TCGA-02-0055normal,Simple Nucleotide Variation,Masked Somatic Mutation,d768978e-7ff1-4324-89ef-f39018a3cfae,e1d1044b-db2b-464c-988f-5cb83e6b7ff3.wxs.aliquot_ensemble_masked.maf,1,1
TCGA-02-2466normal,Copy Number Variation,Gene Level Copy Number,"4eec66e5-a45d-43d0-8d8c-82ed8cd5e075,ca1ee4eb-84be-4ce3-b365-5f31e25e0cb6","TCGA-GBM.e5d8bb0e-a65e-4497-8b01-2c4b1799d8a1.ascat3.gene_level_copy_number.v36.tsv,TCGA-GBM.e5d8bb0e-a65e-4497-8b01-2c4b1799d8a1.gene_level_copy_number.v36.tsv",2,2
TCGA-02-2466normal,Simple Nucleotide Variation,Masked Somatic Mutation,2c443cf0-f68e-475c-b068-468b8373ec05,5f18c1ca-c48e-45f9-bdd3-2e4a6a20ef07.wxs.aliquot_ensemble_masked.maf,1,1
TCGA-02-2470normal,Copy Number Variation,Gene Level Copy Number,"0f686ab3-7184-4286-840d-a3bda949dad8,9a686968-2e67-49a4-850b-e823bbeea674","TCGA-GBM.97e9e20e-47b0-4300-8b86-ff736bfff466.gene_level_copy_number.v36.tsv,TCGA-GBM.97e9e20e-47b0-4300-8b86-ff736bfff466.ascat3.gene_level_copy_number.v36.tsv",2,2
TCGA-02-2470normal,Simple Nucleotide Variation,Masked Somatic Mutation,"39bc8e0a-7e9d-4d5e-b0cc-3c3a5d3cba6d,a1b4de36-90e2-45b4-b4b7-7df6cce21def","cddd8169-648d-4a7d-af2f-ad2a893b0f1d.wxs.aliquot_ensemble_masked.maf,49f1e85c-bf64-427e-9ddb-cc1b405745e1.wxs.aliquot_ensemble_masked.maf",2,2
TCGA-02-2483normal,Copy Number Variation,Gene Level Copy Number,"40cdfb68-eafb-4aa5-8c29-1011fe1a761b,9b905c97-69a8-4600-bbed-d596f8ca08b2","TCGA-GBM.e617c7e5-3903-4716-85c6-f51fdb81786b.ascat3.gene_level_copy_number.v36.tsv,TCGA-GBM.e617c7e5-3903-4716-85c6-f51fdb81786b.gene_level_copy_number.v36.tsv",2,2
TCGA-02-2483normal,Simple Nucleotide Variation,Masked Somatic Mutation,7682e0ce-e404-4c3e-acd2-126d5c7f57e9,c9d5be77-a14a-45ac-ac76-ac7e74e07c0c.wxs.aliquot_ensemble_masked.maf,1,1
TCGA-02-2485normal,Copy Number Variation,Gene Level Copy Number,"b9152974-da68-4125-af45-38dc27830265,b58a4d5f-0531-40cc-9754-69e4cac51e1c","TCGA-GBM.311a1dd5-a907-44c1-902b-3fc64c3f1a81.gene_level_copy_number.v36.tsv,TCGA-GBM.311a1dd5-a907-44c1-902b-3fc64c3f1a81.ascat3.gene_level_copy_number.v36.tsv",2,2
TCGA-02-2485normal,Simple Nucleotide Variation,Masked Somatic Mutation,"67fe3e80-70c3-4452-a3d7-0851e010ed9e,6f560343-1ad3-4e32-a581-a6871b6fa612","8c1abd20-3357-4046-8f6f-93be3d8adb45.wxs.aliquot_ensemble_masked.maf,881e986e-bb7f-44a3-8b93-9c709f51c8cb.wxs.aliquot_ensemble_masked.maf",2,2
TCGA-02-2486normal,Copy Number Variation,Gene Level Copy Number,"b6acdd41-08b4-42f1-b3e0-dc599ceff5bd,f9e3a7f6-2241-4d33-8afe-3f27d5cb646d","TCGA-GBM.74715f2b-fabc-4b3a-9819-aae6dcde8d3c.gene_level_copy_number.v36.tsv,TCGA-GBM.74715f2b-fabc-4b3a-9819-aae6dcde8d3c.ascat3.gene_level_copy_number.v36.tsv",2,2
