Case ID,Data Category,Data Type,file_ids,file_names,num_file_id,num_files
TCGA-CS-5395mixed_glioma,Copy Number Variation,Gene Level Copy Number,"35854733-8d3d-4cfa-86c7-66750e303bb7,f63a9b63-8b08-4379-8262-339d43333875,98aa3616-8c53-4de8-ad67-65b931d14d8f","TCGA-LGG.68059f9b-85af-45c2-a5ad-d7456f57eb20.ascat3.gene_level_copy_number.v36.tsv,TCGA-LGG.68059f9b-85af-45c2-a5ad-d7456f57eb20.absolute_liftover.gene_level_copy_number.v36.tsv,TCGA-LGG.68059f9b-85af-45c2-a5ad-d7456f57eb20.gene_level_copy_number.v36.tsv",3,3
TCGA-CS-5395mixed_glioma,DNA Methylation,Methylation Beta Value,33bcf855-2346-419d-bb52-2775f959d875,b0800975-7299-479a-8299-9f1d41d443c8.methylation_array.sesame.level3betas.txt,1,1
TCGA-CS-5395mixed_glioma,Simple Nucleotide Variation,Masked Somatic Mutation,c9e223e0-1c3d-4449-8f1b-f45fa31ac597,f4cc9841-4a00-41ef-987d-598c62e3b087.wxs.aliquot_ensemble_masked.maf,1,1
TCGA-CS-5395mixed_glioma,Transcriptome Profiling,Gene Expression Quantification,f2298168-e5da-464b-9a5f-d1f6a01e4068,47070554-7b19-4db3-a6c2-3ef277515fe8.rna_seq.augmented_star_gene_counts.tsv,1,1
TCGA-CS-5395mixed_glioma,Transcriptome Profiling,miRNA Expression Quantification,108918a1-1059-48df-99e1-dfa9c7b90d70,34f7d991-bf54-42e9-bcad-acfb71d4e6cd.mirbase21.mirnas.quantification.txt,1,1
TCGA-CS-6186mixed_glioma,Copy Number Variation,Gene Level Copy Number,"c809d626-98aa-478f-a6c1-1a48a6944cf0,54b65e00-a675-44aa-b1ea-ef82483cdb00,7cc6f85d-9c2c-4ff0-ac4a-bbaa9b2f3c02","TCGA-LGG.f2396adf-830c-4dc5-8bd9-54a29ff7fecd.absolute_liftover.gene_level_copy_number.v36.tsv,TCGA-LGG.f2396adf-830c-4dc5-8bd9-54a29ff7fecd.ascat3.gene_level_copy_number.v36.tsv,TCGA-LGG.f2396adf-830c-4dc5-8bd9-54a29ff7fecd.gene_level_copy_number.v36.tsv",3,3
TCGA-CS-6186mixed_glioma,DNA Methylation,Methylation Beta Value,ed1a2726-be26-41a0-9e0a-5825102bb243,a278eaf3-02dc-4b34-b020-639155e47708.methylation_array.sesame.level3betas.txt,1,1
TCGA-CS-6186mixed_glioma,Proteome Profiling,Protein Expression Quantification,f7759a9c-8d94-46f1-8ffe-36491f760960,TCGA-CS-6186-01A-21-A29X-20_RPPA_data.tsv,1,1
TCGA-CS-6186mixed_glioma,Simple Nucleotide Variation,Masked Somatic Mutation,a9105abc-8deb-4c74-a60f-622291cad941,1684442f-5cf4-4e00-87b2-f275f903980a.wxs.aliquot_ensemble_masked.maf,1,1
TCGA-CS-6186mixed_glioma,Transcriptome Profiling,Gene Expression Quantification,97a3cfa9-1504-406d-819c-c75fa4e42c24,6138a91e-1211-45d6-81d2-3f9446446d79.rna_seq.augmented_star_gene_counts.tsv,1,1
TCGA-CS-6186mixed_glioma,Transcriptome Profiling,miRNA Expression Quantification,67609840-10f2-44db-8ff1-de01657b701e,24a1e15c-8578-4d6e-a5a8-95202287d579.mirbase21.mirnas.quantification.txt,1,1
TCGA-DB-5270mixed_glioma,Copy Number Variation,Gene Level Copy Number,"33426933-8889-4807-a485-6b3cc6726ef2,41a94669-d2df-4270-9c1a-6d718ba17f9c,9eabaf22-fedb-4436-b213-afa50e03d7e0","TCGA-LGG.36fb6c4d-54f5-4bae-93bd-c1559746be64.ascat3.gene_level_copy_number.v36.tsv,TCGA-LGG.36fb6c4d-54f5-4bae-93bd-c1559746be64.gene_level_copy_number.v36.tsv,TCGA-LGG.36fb6c4d-54f5-4bae-93bd-c1559746be64.absolute_liftover.gene_level_copy_number.v36.tsv",3,3
TCGA-DB-5270mixed_glioma,DNA Methylation,Methylation Beta Value,925ab47e-4bce-4156-8818-83ea092897b1,fa4a7ae6-ed38-489c-97be-2047fd8e8994.methylation_array.sesame.level3betas.txt,1,1
TCGA-DB-5270mixed_glioma,Proteome Profiling,Protein Expression Quantification,2b552704-7618-40bb-9a67-a78eaac417ae,TCGA-DB-5270-01A-11-A29Z-20_RPPA_data.tsv,1,1
TCGA-DB-5270mixed_glioma,Simple Nucleotide Variation,Masked Somatic Mutation,28cbdec9-a9fe-41e4-b07e-8a30a5fe6899,0d6d6ea1-e08c-4719-88e6-4fa82bcf0c8d.wxs.aliquot_ensemble_masked.maf,1,1
TCGA-DB-5270mixed_glioma,Transcriptome Profiling,Gene Expression Quantification,2c7ecb00-2262-45c0-bf5e-8ad2c4ca2c8e,e6156110-7ffa-45a6-b6d1-7216a21836d3.rna_seq.augmented_star_gene_counts.tsv,1,1
TCGA-DB-5270mixed_glioma,Transcriptome Profiling,miRNA Expression Quantification,37336a46-20bd-4bda-ab46-dfdb135e7424,574e9be8-0d39-4552-beda-a2a77453525e.mirbase21.mirnas.quantification.txt,1,1
TCGA-DB-5274mixed_glioma,Copy Number Variation,Gene Level Copy Number,"35cd0037-572c-49c2-b1b8-ca39cf42039d,c1bf185c-f998-42da-97ab-f89fa44b208c,69345b34-e2d7-4961-871d-e089d958ae9f,47f3b156-cd0e-4c3b-9321-44d5ba6e7610","46f6b3ad-a516-4c46-9069-190659bae587.wgs.ASCAT.gene_level.copy_number_variation.tsv,TCGA-LGG.540542c9-a3d7-4f37-97a8-6f7d1681f9bb.gene_level_copy_number.v36.tsv,TCGA-LGG.540542c9-a3d7-4f37-97a8-6f7d1681f9bb.absolute_liftover.gene_level_copy_number.v36.tsv,TCGA-LGG.540542c9-a3d7-4f37-97a8-6f7d1681f9bb.ascat3.gene_level_copy_number.v36.tsv",4,4
